ID_Proyeccion,Escenario,Fecha,Valor,Comentario
33,Optimista,2026-02-26,494604.48,Ajuste valido para Optimista
34,Optimista,2026-09-09,175075.01,Ajuste valido para Optimista
35,Base,2026-11-04,430583.9,Ajuste valido para Base
36,Optimista,2026-08-20,27395.93,Ajuste valido para Optimista
37,Pesimista,2026-11-16,107748.84,Ajuste valido para Pesimista
38,Optimista,2026-08-13,-103.7,Ajuste manual (Error provocado)
39,Optimista,2026-07-01,133851.39,Ajuste valido para Optimista
40,Base,2026-01-05,215978.73,Ajuste valido para Base
41,Pesimista,2026-03-02,39885.18,Ajuste valido para Pesimista
42,Optimista,2026-08-03,283431.24,Ajuste valido para Optimista
43,Optimista,2026-11-20,174137.89,Ajuste valido para Optimista
44,Optimista,2026-04-19,102202.11,Ajuste valido para Optimista
45,Pesimista,2026-05-19,TextoInvalido,Error tipografico
46,Optimista,2026-01-06,137356.02,Ajuste valido para Optimista
47,Optimista,2026-05-17,102340.79,Ajuste valido para Optimista
48,Pesimista,2026-07-22,41956.95,Ajuste valido para Pesimista
49,Base,2026-06-12,374912.1,Ajuste valido para Base
50,Optimista,2026-01-10,334739.43,Ajuste valido para Optimista
51,Base,2026-10-11,145592.95,Ajuste valido para Base
52,Optimista,2026-07-08,407865.48,Ajuste valido para Optimista
53,Pesimista,2026-05-28,9369.67,Ajuste valido para Pesimista
54,Optimista,2026-09-21,103027.54,Ajuste valido para Optimista
55,Pesimista,2026-02-02,,Falta valor
56,Pesimista,2026-02-11,167393.64,Ajuste valido para Pesimista
57,Pesimista,2026-06-11,479323.75,Ajuste valido para Pesimista
58,Base,2026-11-10,75186.75,Ajuste valido para Base
59,Pesimista,2026-12-29,44586.25,Ajuste valido para Pesimista
60,Pesimista,2026-05-12,481590.86,Ajuste valido para Pesimista
61,Pesimista,2026-09-18,172683.88,Ajuste valido para Pesimista
62,Base,2026-11-24,475616.17,Ajuste valido para Base
63,Optimista,2026-12-19,173316.48,Ajuste valido para Optimista
64,Base,2026-06-13,323513.13,Ajuste valido para Base
65,Pesimista,2026-07-31,136973.1,Ajuste valido para Pesimista
66,Pesimista,2026-01-19,393592.61,Ajuste valido para Pesimista
67,Pesimista,2026-04-20,125205.23,Ajuste valido para Pesimista
68,Optimista,2026-12-06,197211.35,Ajuste valido para Optimista
69,Pesimista,2026-04-23,263277.36,Ajuste valido para Pesimista
70,Optimista,2026-04-23,44843.16,Ajuste valido para Optimista
71,Base,2026-09-25,449117.49,Ajuste valido para Base
72,Optimista,2026-11-12,33004.28,Ajuste valido para Optimista
73,Optimista,2026-08-09,468196.66,Ajuste valido para Optimista
74,Base,2026-07-07,,Falta valor
75,Base,2026-12-23,358751.21,Ajuste valido para Base
76,Optimista,2026-11-21,129155.5,Ajuste valido para Optimista
77,Optimista,2026-05-21,475698.83,Ajuste valido para Optimista
78,Optimista,2026-05-23,395341.83,Ajuste valido para Optimista
79,Optimista,2026-12-12,223165.96,Ajuste valido para Optimista
80,Optimista,2026-11-29,440790.48,Ajuste valido para Optimista
81,Base,2026-02-04,101133.73,Ajuste valido para Base
82,Base,2026-05-23,80022.93,Ajuste valido para Base
83,Pesimista,2026-01-06,327390.86,Ajuste valido para Pesimista
84,Base,2026-07-02,341813.63,Ajuste valido para Base
85,Optimista,2026-09-06,293173.69,Ajuste valido para Optimista
86,Base,2026-05-22,239667.02,Ajuste valido para Base
87,Pesimista,2026-11-15,340689.58,Ajuste valido para Pesimista
88,Optimista,2026-04-23,301548.44,Ajuste valido para Optimista
89,Optimista,2026-04-23,,Falta valor
90,Optimista,2026-04-18,57663.43,Ajuste valido para Optimista
91,Pesimista,2026-03-15,29106.32,Ajuste valido para Pesimista
92,Optimista,2026-10-30,145548.81,Ajuste valido para Optimista
93,Optimista,2026-09-24,1018.51,Ajuste valido para Optimista
94,Pesimista,2026-03-02,,Falta valor
95,Pesimista,2026-11-02,104952.31,Ajuste valido para Pesimista
96,Optimista,2026-08-30,355031.47,Ajuste valido para Optimista
97,Optimista,2026-03-13,393356.35,Ajuste valido para Optimista
98,Optimista,2026-11-04,213560.86,Ajuste valido para Optimista
99,Base,2026-10-23,150636.89,Ajuste valido para Base
100,Pesimista,2026-09-28,51843.03,Ajuste valido para Pesimista
101,Optimista,2026-03-05,59428.56,Ajuste valido para Optimista
102,Base,2026-07-25,147539.05,Ajuste valido para Base
103,Pesimista,2026-09-09,443328.37,Ajuste valido para Pesimista
104,Base,2026-03-21,118363.55,Ajuste valido para Base
105,Pesimista,2026-08-12,-3429.73,Ajuste manual (Error provocado)
106,Optimista,2026-04-21,453404.14,Ajuste valido para Optimista
107,Base,2026-09-23,360625.96,Ajuste valido para Base
108,Base,2026-06-06,381836.74,Ajuste valido para Base
109,Pesimista,2026-03-20,404762.65,Ajuste valido para Pesimista
110,Base,2026-11-15,297695.57,Ajuste valido para Base
111,Pesimista,2026-01-09,-4142.83,Ajuste manual (Error provocado)
112,Pesimista,2026-03-05,,Falta valor
113,Base,2026-07-23,156804.4,Ajuste valido para Base
114,Optimista,2026-05-06,265867.8,Ajuste valido para Optimista
115,Pesimista,2026-05-05,62074.63,Ajuste valido para Pesimista
116,Base,2026-12-09,239812.68,Ajuste valido para Base
117,Optimista,2026-03-29,345754.59,Ajuste valido para Optimista
118,Optimista,2026-01-04,263175.66,Ajuste valido para Optimista
119,Base,2026-03-13,480165.35,Ajuste valido para Base
120,Optimista,2026-06-01,93681.64,Ajuste valido para Optimista
121,Pesimista,2026-01-21,347860.14,Ajuste valido para Pesimista
122,Pesimista,2026-09-21,134133.21,Ajuste valido para Pesimista
123,Optimista,2026-06-13,153126.86,Ajuste valido para Optimista
124,Pesimista,2026-08-01,-4978.33,Ajuste manual (Error provocado)
125,Pesimista,2026-05-31,243206.13,Ajuste valido para Pesimista
126,Base,2026-07-01,78162.44,Ajuste valido para Base
127,Base,2026-08-03,482086.55,Ajuste valido para Base
128,Optimista,2026-05-02,116306.59,Ajuste valido para Optimista
129,Optimista,2026-07-07,115064.63,Ajuste valido para Optimista
130,Pesimista,2026-12-27,152966.49,Ajuste valido para Pesimista
131,Pesimista,2026-06-27,465413.06,Ajuste valido para Pesimista
132,Optimista,2026-10-03,94233.48,Ajuste valido para Optimista
133,Base,2026-04-17,168150.82,Ajuste valido para Base
134,Pesimista,2026-02-02,143985.45,Ajuste valido para Pesimista
135,Pesimista,2026-10-09,217870.3,Ajuste valido para Pesimista
136,Base,2026-10-21,489174.85,Ajuste valido para Base
137,Base,2026-05-16,379144.8,Ajuste valido para Base
138,Optimista,2026-05-17,112976.98,Ajuste valido para Optimista
139,Base,2026-08-09,35404.5,Ajuste valido para Base
140,Base,2026-03-17,396814.39,Ajuste valido para Base
141,Optimista,2026-05-27,423611.91,Ajuste valido para Optimista
142,Base,2026-03-15,-3564.83,Ajuste manual (Error provocado)
143,Base,2026-07-03,32680.66,Ajuste valido para Base
144,Pesimista,2026-01-26,31899.33,Ajuste valido para Pesimista
145,Base,2026-12-21,213560.26,Ajuste valido para Base
146,Optimista,2026-01-21,416774.28,Ajuste valido para Optimista
147,Base,2026-08-04,195919.09,Ajuste valido para Base
148,Base,2026-05-02,7662.23,Ajuste valido para Base
149,Pesimista,2026-01-25,493907.47,Ajuste valido para Pesimista
150,Base,2026-10-09,TextoInvalido,Error tipografico
151,Pesimista,2026-02-23,404976.93,Ajuste valido para Pesimista
152,Pesimista,2026-09-08,129457.09,Ajuste valido para Pesimista
153,Base,2026-09-25,183381.69,Ajuste valido para Base
154,Optimista,2026-01-01,45312.0,Ajuste valido para Optimista
155,Base,2026-04-28,275136.08,Ajuste valido para Base
156,Optimista,2026-10-13,361126.98,Ajuste valido para Optimista
157,Pesimista,2026-07-23,413970.99,Ajuste valido para Pesimista
158,Base,2026-07-26,298703.93,Ajuste valido para Base
159,Optimista,2026-09-09,346150.0,Ajuste valido para Optimista
160,Pesimista,2026-02-17,277350.69,Ajuste valido para Pesimista
161,Base,2026-10-25,74519.54,Ajuste valido para Base
162,Base,2026-01-30,72635.21,Ajuste valido para Base
163,Optimista,2026-06-10,381023.02,Ajuste valido para Optimista
164,Optimista,2026-07-07,365914.02,Ajuste valido para Optimista
165,Base,2026-04-15,273675.7,Ajuste valido para Base
166,Optimista,2026-10-25,488704.8,Ajuste valido para Optimista
167,Optimista,2026-04-16,481885.05,Ajuste valido para Optimista
168,Pesimista,2026-10-17,58215.59,Ajuste valido para Pesimista
169,Optimista,2026-03-22,401135.24,Ajuste valido para Optimista
170,Optimista,2026-04-08,334920.27,Ajuste valido para Optimista
171,Base,2026-02-16,38747.03,Ajuste valido para Base
172,Pesimista,2026-12-12,45591.31,Ajuste valido para Pesimista
173,Base,2026-05-03,213544.13,Ajuste valido para Base
174,Optimista,2026-07-22,180399.57,Ajuste valido para Optimista
175,Pesimista,2026-11-15,486032.57,Ajuste valido para Pesimista
176,Base,2026-10-05,250729.59,Ajuste valido para Base
177,Pesimista,2026-12-12,8174.08,Ajuste valido para Pesimista
178,Pesimista,2026-06-22,275922.6,Ajuste valido para Pesimista
179,Base,2026-05-05,396628.96,Ajuste valido para Base
180,Optimista,2026-11-07,309659.93,Ajuste valido para Optimista
181,Optimista,2026-07-21,372974.46,Ajuste valido para Optimista
182,Optimista,2026-05-23,435229.17,Ajuste valido para Optimista
183,Optimista,2026-03-12,305669.45,Ajuste valido para Optimista
184,Base,2026-02-14,31649.21,Ajuste valido para Base
185,Base,2026-07-08,355323.43,Ajuste valido para Base
186,Base,2026-10-24,21564.31,Ajuste valido para Base
187,Pesimista,2026-05-16,50483.91,Ajuste valido para Pesimista
188,Base,2026-03-29,TextoInvalido,Error tipografico
189,Pesimista,2026-11-12,-4029.15,Ajuste manual (Error provocado)
190,Pesimista,2026-10-14,128679.41,Ajuste valido para Pesimista
191,Pesimista,2026-01-06,239137.9,Ajuste valido para Pesimista
192,Pesimista,2026-04-25,423448.23,Ajuste valido para Pesimista
193,Base,2026-02-11,,Falta valor
194,Base,2026-09-07,71598.55,Ajuste valido para Base
195,Pesimista,2026-10-01,95299.84,Ajuste valido para Pesimista
196,Optimista,2026-05-17,173932.7,Ajuste valido para Optimista
197,Pesimista,2026-01-12,484081.27,Ajuste valido para Pesimista
198,Optimista,2026-10-27,197865.44,Ajuste valido para Optimista
199,Pesimista,2026-02-11,470622.98,Ajuste valido para Pesimista
200,Pesimista,2026-02-07,41129.15,Ajuste valido para Pesimista
201,Pesimista,2026-06-17,33882.88,Ajuste valido para Pesimista
202,Pesimista,2026-05-21,367683.45,Ajuste valido para Pesimista
203,Optimista,2026-09-29,175367.85,Ajuste valido para Optimista
204,Pesimista,2026-05-04,57141.68,Ajuste valido para Pesimista
205,Pesimista,2026-10-13,210402.6,Ajuste valido para Pesimista
206,Base,2026-01-03,225877.47,Ajuste valido para Base
207,Base,2026-09-23,227702.49,Ajuste valido para Base
208,Base,2026-12-12,68629.12,Ajuste valido para Base
209,Pesimista,2026-11-05,457885.88,Ajuste valido para Pesimista
210,Base,2026-02-02,427416.62,Ajuste valido para Base
211,Base,2026-12-10,187278.52,Ajuste valido para Base
212,Optimista,2026-11-06,156495.2,Ajuste valido para Optimista
213,Base,2026-03-22,173951.11,Ajuste valido para Base
214,Pesimista,2026-06-23,185509.85,Ajuste valido para Pesimista
215,Pesimista,2026-02-21,488627.49,Ajuste valido para Pesimista
216,Pesimista,2026-03-11,21620.75,Ajuste valido para Pesimista
217,Optimista,2026-08-07,188381.55,Ajuste valido para Optimista
218,Base,2026-03-26,279869.77,Ajuste valido para Base
219,Pesimista,2026-06-13,145458.2,Ajuste valido para Pesimista
220,Optimista,2026-05-27,48822.02,Ajuste valido para Optimista
221,Base,2026-12-04,17319.69,Ajuste valido para Base
222,Optimista,2026-12-03,282052.21,Ajuste valido para Optimista
223,Pesimista,2026-11-20,2663.27,Ajuste valido para Pesimista
224,Optimista,2026-05-01,159446.2,Ajuste valido para Optimista
225,Pesimista,2026-10-13,171030.53,Ajuste valido para Pesimista
226,Pesimista,2026-01-15,388620.34,Ajuste valido para Pesimista
227,Optimista,2026-09-24,447581.9,Ajuste valido para Optimista
228,Pesimista,2026-05-20,110701.18,Ajuste valido para Pesimista
229,Pesimista,2026-12-05,476030.6,Ajuste valido para Pesimista
230,Pesimista,2026-10-21,218542.34,Ajuste valido para Pesimista
231,Pesimista,2026-09-20,130827.63,Ajuste valido para Pesimista
232,Pesimista,2026-06-08,220972.35,Ajuste valido para Pesimista
233,Pesimista,2026-10-25,152731.9,Ajuste valido para Pesimista
234,Base,2026-12-11,486689.02,Ajuste valido para Base
235,Pesimista,2026-09-14,31415.45,Ajuste valido para Pesimista
236,Pesimista,2026-10-02,155962.01,Ajuste valido para Pesimista
237,Optimista,2026-07-27,38744.79,Ajuste valido para Optimista
238,Base,2026-06-18,408568.56,Ajuste valido para Base
239,Optimista,2026-01-02,184082.57,Ajuste valido para Optimista
240,Pesimista,2026-08-30,364291.18,Ajuste valido para Pesimista
241,Base,2026-12-05,307879.54,Ajuste valido para Base
242,Base,2026-08-31,133663.14,Ajuste valido para Base
243,Optimista,2026-11-05,488497.31,Ajuste valido para Optimista
244,Base,2026-11-14,114280.87,Ajuste valido para Base
245,Pesimista,2026-02-09,191787.08,Ajuste valido para Pesimista
246,Pesimista,2026-09-22,161403.86,Ajuste valido para Pesimista
247,Pesimista,2026-04-29,70532.16,Ajuste valido para Pesimista
248,Pesimista,2026-07-03,484898.24,Ajuste valido para Pesimista
249,Optimista,2026-05-05,242196.12,Ajuste valido para Optimista
250,Base,2026-02-24,424680.88,Ajuste valido para Base
251,Pesimista,2026-02-02,433593.86,Ajuste valido para Pesimista
252,Optimista,2026-09-07,462621.05,Ajuste valido para Optimista
253,Optimista,2026-03-07,364739.71,Ajuste valido para Optimista
254,Pesimista,2026-11-10,151393.26,Ajuste valido para Pesimista
255,Optimista,2026-08-12,120097.71,Ajuste valido para Optimista
256,Pesimista,2026-07-26,401289.0,Ajuste valido para Pesimista
257,Pesimista,2026-05-29,152097.94,Ajuste valido para Pesimista
258,Base,2026-01-01,305272.07,Ajuste valido para Base
259,Base,2026-03-30,279825.84,Ajuste valido para Base
260,Pesimista,2026-09-02,470794.1,Ajuste valido para Pesimista
261,Pesimista,2026-08-07,313522.24,Ajuste valido para Pesimista
262,Base,2026-03-10,9163.66,Ajuste valido para Base
263,Pesimista,2026-07-20,33206.75,Ajuste valido para Pesimista
264,Base,2026-03-04,,Falta valor
265,Pesimista,2026-09-27,38925.79,Ajuste valido para Pesimista
266,Pesimista,2026-02-10,330266.99,Ajuste valido para Pesimista
267,Base,2027-01-01,259171.3,Ajuste valido para Base
268,Pesimista,2026-09-08,256411.54,Ajuste valido para Pesimista
269,Base,2026-05-23,,Falta valor
270,Pesimista,2026-04-26,123565.77,Ajuste valido para Pesimista
271,Optimista,2026-08-20,9274.23,Ajuste valido para Optimista
272,Base,2026-12-13,6381.46,Ajuste valido para Base
273,Optimista,2026-04-29,449013.64,Ajuste valido para Optimista
274,Optimista,2026-08-20,12623.31,Ajuste valido para Optimista
275,Optimista,2026-04-23,148289.83,Ajuste valido para Optimista
276,Optimista,2026-05-13,27636.23,Ajuste valido para Optimista
277,Pesimista,2026-09-07,113522.76,Ajuste valido para Pesimista
278,Optimista,2026-05-07,60874.47,Ajuste valido para Optimista
279,Pesimista,2026-01-30,218255.76,Ajuste valido para Pesimista
280,Base,2026-03-16,325988.47,Ajuste valido para Base
281,Optimista,2026-01-05,120242.57,Ajuste valido para Optimista
282,Pesimista,2026-03-27,447189.15,Ajuste valido para Pesimista
283,Base,2026-09-05,191746.29,Ajuste valido para Base
284,Base,2026-12-12,4895.49,Ajuste valido para Base
285,Base,2026-10-25,363574.54,Ajuste valido para Base
286,Pesimista,2026-02-12,25747.51,Ajuste valido para Pesimista
287,Optimista,2026-09-08,35630.59,Ajuste valido para Optimista
288,Optimista,2026-09-13,301852.4,Ajuste valido para Optimista
289,Pesimista,2026-12-15,316235.3,Ajuste valido para Pesimista
290,Base,2026-06-25,65462.98,Ajuste valido para Base
291,Optimista,2026-10-02,144684.02,Ajuste valido para Optimista
292,Optimista,2026-09-21,69920.04,Ajuste valido para Optimista
293,Optimista,2026-09-11,-2633.0,Ajuste manual (Error provocado)
294,Base,2026-09-26,403258.01,Ajuste valido para Base
295,Pesimista,2026-12-10,211684.81,Ajuste valido para Pesimista
296,Base,2026-08-16,142384.12,Ajuste valido para Base
297,Pesimista,2026-10-04,51476.09,Ajuste valido para Pesimista
298,Base,2026-05-15,236606.6,Ajuste valido para Base
299,Base,2026-07-26,284407.64,Ajuste valido para Base
300,Pesimista,2026-10-12,458004.61,Ajuste valido para Pesimista
301,Pesimista,2026-10-22,436223.68,Ajuste valido para Pesimista
302,Optimista,2026-06-11,72787.75,Ajuste valido para Optimista
303,Base,2026-03-25,418089.9,Ajuste valido para Base
304,Base,2026-03-26,329903.45,Ajuste valido para Base
305,Base,2026-10-08,441255.28,Ajuste valido para Base
306,Base,2026-11-25,426091.8,Ajuste valido para Base
307,Pesimista,2026-06-03,413649.16,Ajuste valido para Pesimista
308,Base,2026-01-02,76602.29,Ajuste valido para Base
309,Pesimista,2026-01-20,50975.98,Ajuste valido para Pesimista
310,Pesimista,2026-08-18,321856.63,Ajuste valido para Pesimista
311,Base,2026-03-08,57883.07,Ajuste valido para Base
312,Optimista,2026-10-30,288991.93,Ajuste valido para Optimista
313,Pesimista,2026-07-25,150113.22,Ajuste valido para Pesimista
314,Optimista,2026-07-01,1426.65,Ajuste valido para Optimista
315,Optimista,2026-04-12,46202.34,Ajuste valido para Optimista
316,Optimista,2026-11-16,415257.48,Ajuste valido para Optimista
317,Base,2026-02-22,254098.4,Ajuste valido para Base
318,Optimista,2026-08-26,95501.55,Ajuste valido para Optimista
319,Optimista,2026-09-14,71553.86,Ajuste valido para Optimista
320,Pesimista,2026-10-06,262237.68,Ajuste valido para Pesimista
321,Pesimista,2026-07-25,30499.38,Ajuste valido para Pesimista
322,Pesimista,2026-10-25,382238.89,Ajuste valido para Pesimista
323,Optimista,2026-11-22,45174.57,Ajuste valido para Optimista
324,Base,2026-05-18,381068.48,Ajuste valido para Base
325,Optimista,2026-10-07,285272.51,Ajuste valido para Optimista
326,Optimista,2026-10-02,325012.13,Ajuste valido para Optimista
327,Base,2026-07-28,130216.2,Ajuste valido para Base
328,Pesimista,2026-04-03,394078.47,Ajuste valido para Pesimista
329,Optimista,2026-06-26,95397.31,Ajuste valido para Optimista
330,Base,2026-11-27,414865.16,Ajuste valido para Base
331,Base,2026-11-24,369107.61,Ajuste valido para Base
332,Optimista,2026-08-16,288082.4,Ajuste valido para Optimista
333,Pesimista,2026-09-01,228636.97,Ajuste valido para Pesimista
334,Optimista,2026-07-03,295276.08,Ajuste valido para Optimista
335,Optimista,2026-11-23,450284.04,Ajuste valido para Optimista
336,Base,2026-04-12,288090.15,Ajuste valido para Base
337,Optimista,2026-09-23,464002.59,Ajuste valido para Optimista
338,Optimista,2026-01-18,44009.73,Ajuste valido para Optimista
339,Optimista,2026-10-31,18414.98,Ajuste valido para Optimista
340,Optimista,2026-07-15,426571.33,Ajuste valido para Optimista
341,Optimista,2026-04-21,48698.01,Ajuste valido para Optimista
342,Pesimista,2026-05-27,59371.21,Ajuste valido para Pesimista
343,Base,2026-10-26,262096.83,Ajuste valido para Base
344,Optimista,2026-07-01,326560.83,Ajuste valido para Optimista
345,Base,2026-10-07,225276.37,Ajuste valido para Base
346,Base,2026-09-03,314963.12,Ajuste valido para Base
347,Optimista,2026-05-20,193876.59,Ajuste valido para Optimista
348,Base,2026-01-22,398213.85,Ajuste valido para Base
349,Base,2026-07-02,82554.48,Ajuste valido para Base
350,Base,2026-06-18,295985.1,Ajuste valido para Base
351,Pesimista,2026-01-17,325349.63,Ajuste valido para Pesimista
352,Base,2026-12-24,341010.7,Ajuste valido para Base
353,Pesimista,2026-08-28,-2313.67,Ajuste manual (Error provocado)
354,Pesimista,2026-07-29,186480.33,Ajuste valido para Pesimista
355,Pesimista,2026-12-05,434674.11,Ajuste valido para Pesimista
356,Pesimista,2026-10-01,356828.63,Ajuste valido para Pesimista
357,Pesimista,2026-05-19,143528.02,Ajuste valido para Pesimista
358,Base,2026-06-26,TextoInvalido,Error tipografico
359,Optimista,2026-08-26,407029.73,Ajuste valido para Optimista
360,Optimista,2026-08-03,167355.64,Ajuste valido para Optimista
361,Pesimista,2026-05-09,492042.72,Ajuste valido para Pesimista
362,Optimista,2026-10-25,462734.55,Ajuste valido para Optimista
363,Base,2026-09-06,279253.76,Ajuste valido para Base
364,Base,2026-10-26,61674.42,Ajuste valido para Base
365,Base,2026-11-09,58921.64,Ajuste valido para Base
366,Optimista,2026-08-29,272935.05,Ajuste valido para Optimista
367,Base,2026-04-26,285740.99,Ajuste valido para Base
368,Base,2026-07-26,451969.28,Ajuste valido para Base
369,Optimista,2026-11-12,387215.21,Ajuste valido para Optimista
370,Base,2026-01-23,97506.77,Ajuste valido para Base
371,Pesimista,2026-07-30,342906.41,Ajuste valido para Pesimista
372,Optimista,2027-01-01,322390.77,Ajuste valido para Optimista
373,Optimista,2026-08-28,439732.95,Ajuste valido para Optimista
374,Optimista,2026-10-29,92035.71,Ajuste valido para Optimista
375,Base,2026-04-21,249013.58,Ajuste valido para Base
376,Base,2026-01-28,248905.68,Ajuste valido para Base
377,Pesimista,2026-06-24,469925.15,Ajuste valido para Pesimista
378,Optimista,2026-09-20,,Falta valor
379,Base,2026-01-08,431317.89,Ajuste valido para Base
380,Base,2026-03-09,341109.48,Ajuste valido para Base
381,Base,2026-03-20,126576.21,Ajuste valido para Base
382,Pesimista,2026-04-30,477233.11,Ajuste valido para Pesimista
383,Optimista,2026-02-22,322511.51,Ajuste valido para Optimista
384,Optimista,2026-09-18,479927.59,Ajuste valido para Optimista
385,Base,2026-10-26,253263.88,Ajuste valido para Base
386,Pesimista,2026-12-02,101718.69,Ajuste valido para Pesimista
387,Base,2026-01-24,416050.95,Ajuste valido para Base
388,Optimista,2026-07-17,367233.73,Ajuste valido para Optimista
389,Base,2026-11-11,354590.86,Ajuste valido para Base
390,Pesimista,2026-06-27,459036.41,Ajuste valido para Pesimista
391,Base,2026-09-23,272640.33,Ajuste valido para Base
392,Pesimista,2026-07-15,149036.67,Ajuste valido para Pesimista
393,Optimista,2026-10-08,94043.46,Ajuste valido para Optimista
394,Pesimista,2026-06-11,396596.49,Ajuste valido para Pesimista
395,Base,2026-05-08,339846.35,Ajuste valido para Base
396,Optimista,2026-10-14,476200.44,Ajuste valido para Optimista
397,Pesimista,2026-07-18,340611.13,Ajuste valido para Pesimista
398,Base,2026-08-12,35771.96,Ajuste valido para Base
399,Base,2026-07-25,246178.71,Ajuste valido para Base
400,Pesimista,2026-04-20,429007.43,Ajuste valido para Pesimista
401,Optimista,2026-07-24,407746.82,Ajuste valido para Optimista
402,Base,2026-10-09,410197.78,Ajuste valido para Base
403,Pesimista,2026-11-13,390281.35,Ajuste valido para Pesimista
404,Base,2026-05-21,135046.13,Ajuste valido para Base
405,Optimista,2026-09-24,39991.08,Ajuste valido para Optimista
406,Optimista,2026-05-10,486638.3,Ajuste valido para Optimista
407,Base,2026-02-26,55299.22,Ajuste valido para Base
408,Pesimista,2026-02-15,244008.55,Ajuste valido para Pesimista
409,Base,2026-05-03,352919.57,Ajuste valido para Base
410,Base,2026-09-30,406212.22,Ajuste valido para Base
411,Base,2026-09-22,109651.8,Ajuste valido para Base
412,Base,2026-07-19,197357.44,Ajuste valido para Base
413,Base,2026-06-22,411518.63,Ajuste valido para Base
414,Optimista,2026-05-13,230768.19,Ajuste valido para Optimista
415,Pesimista,2026-09-29,169736.16,Ajuste valido para Pesimista
416,Base,2026-11-12,31237.84,Ajuste valido para Base
417,Optimista,2026-02-09,-3262.34,Ajuste manual (Error provocado)
418,Pesimista,2026-02-04,327036.64,Ajuste valido para Pesimista
419,Optimista,2026-07-24,476673.44,Ajuste valido para Optimista
420,Pesimista,2026-12-17,433848.64,Ajuste valido para Pesimista
421,Pesimista,2026-02-25,485307.71,Ajuste valido para Pesimista
422,Pesimista,2026-03-04,438681.85,Ajuste valido para Pesimista
423,Base,2026-01-04,218346.59,Ajuste valido para Base
424,Pesimista,2026-02-14,94722.22,Ajuste valido para Pesimista
425,Pesimista,2026-06-09,318504.65,Ajuste valido para Pesimista
426,Optimista,2026-03-24,185677.7,Ajuste valido para Optimista
427,Optimista,2026-05-07,,Falta valor
428,Optimista,2026-06-03,181323.29,Ajuste valido para Optimista
429,Optimista,2026-11-24,60885.93,Ajuste valido para Optimista
430,Base,2026-10-09,138751.34,Ajuste valido para Base
431,Pesimista,2026-06-24,8918.8,Ajuste valido para Pesimista
432,Optimista,2026-03-11,202491.05,Ajuste valido para Optimista
433,Base,2026-06-25,216822.2,Ajuste valido para Base
434,Base,2026-12-31,431836.4,Ajuste valido para Base
435,Base,2026-07-08,365664.17,Ajuste valido para Base
436,Base,2026-03-23,492598.11,Ajuste valido para Base
437,Base,2026-10-29,411411.08,Ajuste valido para Base
438,Optimista,2026-05-29,415778.79,Ajuste valido para Optimista
439,Pesimista,2026-07-09,246081.64,Ajuste valido para Pesimista
440,Pesimista,2026-03-01,359654.66,Ajuste valido para Pesimista
441,Pesimista,2026-07-29,14507.04,Ajuste valido para Pesimista
442,Optimista,2026-06-27,67413.12,Ajuste valido para Optimista
443,Base,2026-01-27,404123.23,Ajuste valido para Base
444,Base,2026-04-16,148717.57,Ajuste valido para Base
445,Base,2026-12-16,,Falta valor
446,Base,2026-07-25,306501.9,Ajuste valido para Base
447,Optimista,2026-08-05,110905.04,Ajuste valido para Optimista
448,Base,2026-02-08,417674.63,Ajuste valido para Base
